year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
6,1,1,133,1,0,,,,,0,0
6,1,1,137,1,1,2,,,,1.5,1.75
6,1,1,142,1,1,2,,,,1.5,1.5
6,1,1,148,1,1,2,3,4,,2.5,2.25
6,1,1,155,1,2,3,4,,,3,3.5
6,1,1,161,1,3,4,5,,,4,4.5
6,1,1,168,1,5,6,,,,5.5,5.25
6,1,1,175,1,6,,,,,6,6
6,1,1,133,4,0,,,,,0,0
6,1,1,137,4,1,,,,,1,1
6,1,1,142,4,1,2,,,,1.5,1.5
6,1,1,148,4,1,2,4,,,2.333333333,2.75
6,1,1,155,4,1,2,3,4,,2.5,3
6,1,1,161,4,4,5,6,,,5,4.5
6,1,1,133,5,0,,,,,0,0
6,1,1,137,5,1,,,,,1,1
6,1,1,142,5,1,2,,,,1.5,1.5
6,1,1,148,5,1,2,,,,1.5,1.75
6,1,1,155,5,3,4,,,,3.5,3.75
6,1,1,161,5,3,4,,,,3.5,3.75
6,1,1,168,5,5,6,,,,5.5,5.5
6,1,1,175,5,5,6,,,,5.5,5.75
6,1,1,182,5,6,,,,,6,6
6,1,2,133,1,1,,,,,1,1
6,1,2,137,1,1,2,,,,1.5,1.75
6,1,2,142,1,2,3,4,,,3,3.25
6,1,2,148,1,3,4,,,,3.5,3.5
6,1,2,155,1,3,4,,,,3.5,3.5
6,1,2,161,1,3,4,,,,3.5,3.25
6,1,2,168,1,4,5,6,,,5,5.25
6,1,2,175,1,6,,,,,6,6
6,1,2,182,1,3,6,,,,4.5,5.75
6,1,2,133,2,1,,,,,1,1
6,1,2,137,2,1,2,,,,1.5,1.5
6,1,2,142,2,1,2,,,,1.5,1.5
6,1,2,148,2,1,2,4,,,2.333333333,2.75
6,1,2,155,2,2,3,4,,,3,3.5
6,1,2,168,2,4,5,,,,4.5,4.75
6,1,2,175,2,6,,,,,6,6
6,1,2,133,4,1,,,,,1,1
6,1,2,137,4,1,2,,,,1.5,1.5
6,1,2,142,4,1,2,,,,1.5,1.5
6,1,2,148,4,1,2,3,4,,2.5,2.5
6,1,2,155,4,1,2,3,4,5,3,3.75
6,1,2,161,4,2,3,4,5,,3.5,4
6,1,2,168,4,3,4,5,6,,4.5,4.75
6,1,2,175,4,3,6,,,,4.5,6
6,1,2,182,4,6,,,,,6,6
6,1,2,133,5,1,,,,,1,1
6,1,2,137,5,1,2,,,,1.5,1.5
6,1,2,142,5,1,2,3,4,,2.5,3
6,1,2,148,5,1,2,3,4,,2.5,3.75
6,1,2,155,5,4,5,,,,4.5,4.75
6,1,2,161,5,5,6,,,,5.5,5.25
6,1,2,168,5,5,6,,,,5.5,5.5
6,1,2,175,5,5,6,,,,5.5,5.75
6,1,2,182,5,6,,,,,6,6
6,1,3,133,1,0,,,,,0,0
6,1,3,137,1,1,,,,,1,1
6,1,3,142,1,1,2,,,,1.5,1.75
6,1,3,148,1,1,2,3,4,,2.5,2
6,1,3,155,1,3,4,,,,3.5,3.75
6,1,3,161,1,3,4,5,,,4,4
