year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
7,1,3,169,1,0,,,,,0,0
7,1,3,176,1,1,,,,,1,1
7,1,3,184,1,1,,,,,1,1
7,1,3,190,1,1,2,,,,1.5,1.75
7,1,3,197,1,2,,,,,2,2
7,1,3,204,1,2,3,,,,2.5,2.25
7,1,3,212,1,2,3,,,,2.5,2.75
7,1,3,219,1,2,3,,,,2.5,2.75
7,1,3,225,1,2,3,4,,,3,3
7,1,3,232,1,3,4,5,6,,4.5,4.25
7,1,3,239,1,3,4,5,,,4,4.75
7,1,3,246,1,5,6,,,,5.5,5.5
7,1,3,253,1,5,6,,,,5.5,5.75
7,1,3,169,2,0,,,,,0,0
7,1,3,176,2,1,,,,,1,1
7,1,3,184,2,1,,,,,1,1
7,1,3,190,2,1,,,,,1,1
7,1,3,197,2,1,,,,,1,1
7,1,3,204,2,1,,,,,1,1
7,1,3,212,2,1,2,,,,1.5,1.75
7,1,3,219,2,2,3,,,,2.5,2.25
7,1,3,225,2,2,3,,,,2.5,2.25
7,1,3,232,2,2,3,4,,,3,2.75
7,1,3,239,2,2,3,5,,,3.333333333,3.5
7,1,3,246,2,2,3,4,5,,3.5,3.75
7,1,3,253,2,3,4,5,,,4,4.25
7,1,3,169,3,0,,,,,0,0
7,1,3,176,3,1,,,,,1,1
7,1,3,184,3,1,,,,,1,1
7,1,3,190,3,1,2,,,,1.5,1.25
7,1,3,197,3,1,2,,,,1.5,1.5
7,1,3,204,3,1,2,,,,1.5,1.75
7,1,3,212,3,2,3,,,,2.5,2.5
7,1,3,219,3,2,3,,,,2.5,2.75
7,1,3,225,3,2,3,4,,,3,3
7,1,3,232,3,3,4,5,6,,4.5,4.5
7,1,3,239,3,3,4,5,,,4,4.5
7,1,3,246,3,5,6,,,,5.5,5.5
7,1,3,253,3,5,6,,,,5.5,5.5
7,1,3,169,4,0,,,,,0,0
7,1,3,176,4,1,,,,,1,1
7,1,3,184,4,1,,,,,1,1
7,1,3,190,4,1,,,,,1,1
7,1,3,197,4,1,,,,,1,1
7,1,3,204,4,1,,,,,1,1
7,1,3,212,4,1,2,,,,1.5,1.5
7,1,3,219,4,2,3,,,,2.5,2.75
7,1,3,225,4,2,3,,,,2.5,2.75
7,1,3,232,4,2,3,4,,,3,3.25
7,1,3,239,4,3,4,,,,3.5,3.75
7,1,3,246,4,3,4,5,,,4,4.25
7,1,3,253,4,3,4,5,,,4,4.25
7,1,4,169,1,0,,,,,0,0
7,1,4,176,1,1,,,,,1,1
7,1,4,184,1,1,,,,,1,1
7,1,4,190,1,1,2,,,,1.5,1.25
7,1,4,197,1,1,2,,,,1.5,1.75
7,1,4,204,1,2,3,,,,2.5,2.25
7,1,4,212,1,2,3,,,,2.5,2.5
7,1,4,219,1,2,3,4,,,3,3
7,1,4,225,1,2,3,4,,,3,3.5
7,1,4,232,1,3,4,5,6,,4.5,4.25
7,1,4,239,1,4,5,6,,,5,5.25
7,1,4,246,1,5,6,,,,5.5,5.5
7,1,4,253,1,5,6,,,,5.5,5.75
7,1,4,169,2,0,,,,,0,0
7,1,4,176,2,1,,,,,1,1
7,1,4,184,2,1,,,,,1,1
7,1,4,190,2,1,,,,,1,1
7,1,4,197,2,1,2,,,,1.5,1.5
7,1,4,204,2,1,2,,,,1.5,1.75
7,1,4,212,2,2,3,,,,2.5,2.25
7,1,4,219,2,2,3,4,,,3,2.75
7,1,4,225,2,2,3,4,,,3,3.25
7,1,4,232,2,2,3,4,,,3,3.75
7,1,4,239,2,3,4,5,,,4,4
7,1,4,246,2,3,4,5,,,4,4.25
7,1,4,253,2,3,4,5,,,4,4.5
7,1,4,197,3,0,,,,,0,0
7,1,4,204,3,1,2,,,,1.5,1.75
7,1,4,212,3,2,3,,,,2.5,2.25
7,1,4,219,3,2,3,4,,,3,3
7,1,4,225,3,2,3,4,,,3,3.25
7,1,4,232,3,2,3,4,5,,3.5,3.75
7,1,4,239,3,3,4,5,6,,4.5,4.5
7,1,4,246,3,3,4,5,,,4,4.5
7,1,4,253,3,5,6,,,,5.5,5.25
7,1,4,197,4,0,,,,,0,0
7,1,4,204,4,1,2,,,,1.5,1.5
7,1,4,212,4,2,3,,,,2.5,2.5
7,1,4,219,4,2,3,4,,,3,3.5
7,1,4,225,4,3,4,5,,,4,4
7,1,4,232,4,4,5,6,,,5,4.75
7,1,4,197,5,0,,,,,0,0
7,1,4,204,5,1,2,,,,1.5,1.75
7,1,4,212,5,2,3,,,,2.5,2.5
7,1,4,219,5,2,3,4,,,3,3.25
7,1,4,225,5,2,3,4,5,,3.5,4
7,1,4,232,5,3,4,5,6,,4.5,4.5
7,1,4,239,5,5,6,,,,5.5,5.25
7,1,4,246,5,5,6,,,,5.5,5.25
7,1,4,253,5,5,6,,,,5.5,5.5
7,1,5,176,1,0,,,,,0,0
7,1,5,184,1,1,,,,,1,1
7,1,5,190,1,1,,,,,1,1
7,1,5,197,1,1,,,,,1,1
7,1,5,204,1,1,2,,,,1.5,1.25
7,1,5,212,1,2,,,,,2,2
7,1,5,219,1,2,,,,,2,2
7,1,5,225,1,2,3,,,,2.5,2.5
7,1,5,232,1,2,3,,,,2.5,2.75
7,1,5,239,1,2,3,4,,,3,2.75
7,1,5,246,1,3,4,5,,,4,3.75
7,1,5,253,1,3,4,5,,,4,4
7,1,5,176,2,0,,,,,0,0
7,1,5,184,2,1,2,,,,1.5,1.5
7,1,5,190,2,1,2,,,,1.5,1.75
7,1,5,197,2,1,2,,,,1.5,1.75
7,1,5,204,2,2,3,,,,2.5,2.25
7,1,5,212,2,2,3,,,,2.5,2.25
7,1,5,219,2,2,3,4,,,3,2.75
7,1,5,225,2,3,4,5,,,4,3.75
7,1,5,232,2,3,4,5,,,4,4.25
7,1,5,239,2,3,4,5,6,,4.5,4.75
7,1,5,246,2,5,6,,,,5.5,5.5
7,1,5,253,2,5,6,,,,5.5,5.25
7,1,6,169,1,0,,,,,0,0
7,1,6,176,1,1,,,,,1,1
7,1,6,184,1,1,,,,,1,1
7,1,6,190,1,1,,,,,1,1
7,1,6,197,1,1,2,,,,1.5,1.25
7,1,6,204,1,1,2,3,,,2,2
7,1,6,212,1,1,2,,,,1.5,1.24
7,1,6,219,1,3,4,,,,3.5,3.25
7,1,6,225,1,4,5,,,,4.5,4.5
7,1,6,232,1,4,5,,,,4.5,4.75
7,1,6,239,1,5,6,,,,5.5,5.25
7,1,6,246,1,5,6,,,,5.5,5.5
7,1,6,253,1,5,6,,,,5.5,5.25
7,1,6,169,2,0,,,,,0,0
7,1,6,176,2,1,,,,,1,1
7,1,6,184,2,1,,,,,1,1
7,1,6,190,2,1,,,,,1,1
7,1,6,197,2,1,2,,,,1.5,1.25
7,1,6,204,2,1,2,,,,1.5,1.25
7,1,6,212,2,3,4,,,,3.5,3.75
7,1,6,219,2,3,4,,,,3.5,3.75
