year,site,plot,date,rep,stage1,stage2,average,overall
7,1,1,169,1,0,,0,0
7,1,1,176,1,1,,1,1
7,1,1,184,1,1,,1,1
7,1,1,190,1,1,2,1.5,1.75
7,1,1,197,1,2,3,2.5,2.75
7,1,1,204,1,2,3,2.5,2.75
7,1,1,212,1,3,,3,3
7,1,1,219,1,3,,3,3
7,1,1,225,1,3,4,3.5,3.25
7,1,1,232,1,4,,4,4
7,1,1,169,2,0,,0,0
7,1,1,176,2,1,,1,1
7,1,1,184,2,1,2,1.5,1.25
7,1,1,190,2,1,2,1.5,1.75
7,1,1,197,2,2,3,2.5,2.25
7,1,1,204,2,2,3,2.5,2.75
7,1,1,212,2,3,,3,3
7,1,1,219,2,3,,3,3
7,1,1,225,2,3,,3,3
7,1,1,232,2,3,4,3.5,3.25
7,1,1,239,2,3,4,3.5,3.5
7,1,1,246,2,3,4,3.5,3.75
7,1,1,253,2,3,4,3.5,3.5
7,1,1,176,3,0,,0,0
7,1,1,184,3,1,2,1.5,1.25
7,1,1,190,3,1,2,1.5,1.75
7,1,1,197,3,2,3,2.5,2.25
7,1,1,204,3,2,3,2.5,2.75
7,1,1,212,3,3,,3,3
7,1,1,219,3,3,,3,3
7,1,1,225,3,3,4,3.5,3.25
7,1,1,232,3,4,,4,4
7,1,1,176,4,0,,0,0
7,1,1,184,4,1,,1,1
7,1,1,190,4,1,,1,1
7,1,1,197,4,2,,2,2
7,1,1,204,4,2,3,2.5,2.75
7,1,1,212,4,2,3,2.5,2.75
7,1,1,219,4,3,,3,3
7,1,1,225,4,3,,3,3
7,1,1,232,4,3,4,3.5,3.75
7,1,1,239,4,4,,4,4
7,1,2,169,1,0,,0,0
7,1,2,176,1,1,,1,1
7,1,2,184,1,1,,1,1
7,1,2,190,1,1,2,1.5,1.25
7,1,2,197,1,1,2,1.5,1.75
7,1,2,204,1,2,3,2.5,2.75
7,1,2,212,1,2,3,2.5,2.75
7,1,2,219,1,3,,3,3
7,1,2,225,1,3,,3,3
7,1,2,232,1,3,,3,3
7,1,2,239,1,3,4,3.5,3.7.5
7,1,2,246,1,3,4,3.5,3.75
7,1,2,253,1,3,4,3.5,3.75
7,1,2,169,2,0,,0,0
7,1,2,176,2,1,,1,1
7,1,2,184,2,1,2,1.5,1.25
7,1,2,190,2,1,2,1.5,1.5
7,1,2,197,2,2,,2,2
7,1,2,204,2,2,3,2.5,2.75
7,1,2,212,2,2,3,2.5,2.5
7,1,2,219,2,3,,3,3
7,1,2,225,2,3,4,3.5,3.25
7,1,2,232,2,3,4,3.5,3.75
7,1,2,239,2,4,,4,4
7,1,2,169,3,0,,0,0
7,1,2,176,3,1,,1,1
7,1,2,184,3,1,,1,1
7,1,2,190,3,1,2,1.5,1.75
7,1,2,197,3,2,3,2.5,2.5
7,1,2,204,3,2,3,2.5,2.75
7,1,2,212,3,2,3,2.5,2.75
7,1,2,219,3,3,,3,3
7,1,2,225,3,3,,3,3
7,1,2,169,4,0,,0,0
7,1,2,176,4,1,,1,1
7,1,2,184,4,1,2,1.5,1.25
7,1,2,190,4,1,2,1.5,1.5
7,1,2,197,4,2,3,2.5,2.25
7,1,2,204,4,3,,3,3
7,1,2,212,4,3,,3,3
7,1,2,219,4,3,,3,3
7,1,2,225,4,3,,3,3
7,1,2,232,4,3,4,3.5,3.25
7,1,2,239,4,3,4,3.5,3.75
7,1,2,246,4,3,4,3.5,3.75
7,1,2,253,4,3,4,3.5,3.75
7,1,2,169,5,0,,0,0
7,1,2,176,5,1,,1,1
7,1,2,184,5,1,,1,1
7,1,2,190,5,1,2,1.5,1.25
7,1,2,197,5,2,,2,2
7,1,2,204,5,2,3,2.5,2.75
7,1,2,212,5,2,3,2.5,2.75
7,1,2,219,5,3,,3,3
7,1,2,225,5,3,,3,3
7,1,3,169,1,0,,0,0
7,1,3,176,1,1,,1,1
7,1,3,184,1,1,,1,1
7,1,3,190,1,1,2,1.5,1.25
7,1,3,197,1,2,,2,2
7,1,3,204,1,2,3,2.5,2.75
7,1,3,212,1,2,3,2.5,2.75
7,1,3,219,1,2,3,2.5,2.75
7,1,3,225,1,3,,3,3
7,1,3,232,1,3,,3,3
7,1,3,239,1,3,,3,3
7,1,3,246,1,3,4,3.5,3.25
7,1,3,253,1,3,4,3.5,3.5
7,1,3,169,2,0,,0,0
7,1,3,176,2,1,,1,1
7,1,3,184,2,1,,1,1
7,1,3,190,2,1,,1,1
7,1,3,197,2,1,2,1.5,1.75
7,1,3,204,2,2,3,2.5,2.25
7,1,3,212,2,2,3,2.5,2.75
7,1,3,219,2,3,,3,3
7,1,3,225,2,3,,3,3
7,1,3,232,2,3,4,3.5,3.25
7,1,3,239,2,3,4,3.5,3.75
7,1,3,246,2,3,4,3.5,3.5
7,1,3,253,2,4,,4,4
7,1,3,169,3,0,,0,0
7,1,3,176,3,1,,1,1
7,1,3,184,3,1,,1,1
7,1,3,190,3,1,,1,1
7,1,3,197,3,2,,2,2
7,1,3,204,3,2,3,2.5,2.75
7,1,3,212,3,2,3,2.5,2.75
7,1,3,219,3,3,,3,3
7,1,3,225,3,3,,3,3
7,1,3,232,3,3,,3,3
7,1,3,239,3,3,4,3.5,3.25
7,1,3,246,3,3,4,3.5,3.75
7,1,3,253,3,4,,4,4
7,1,3,169,4,0,,0,0
7,1,3,176,4,1,,1,1
7,1,3,184,4,1,,1,1
7,1,3,190,4,1,2,1.5,1.75
7,1,3,197,4,2,,2,2
7,1,3,204,4,3,,3,3
7,1,3,212,4,3,,3,3
7,1,3,169,5,0,,0,0
7,1,3,176,5,1,,1,1
7,1,3,184,5,1,,1,1
7,1,3,190,5,1,2,1.5,1.25
7,1,3,197,5,2,,2,2
7,1,3,204,5,2,3,2.5,2.75
7,1,3,212,5,2,3,2.5,2.75
7,1,3,219,5,3,,3,3
7,1,3,225,5,3,,3,3
7,1,3,232,5,3,4,3.5,3.25
7,1,3,239,5,3,4,3.5,3.25
7,1,3,246,5,4,,4,4
7,1,4,162,1,0,,0,0
7,1,4,169,1,1,,1,1
7,1,4,176,1,1,,1,1
7,1,4,184,1,1,,1,1
7,1,4,190,1,1,2,1.5,1.75
7,1,4,197,1,2,3,2.5,2.25
7,1,4,204,1,2,3,2.5,2.75
7,1,4,212,1,2,3,2.5,2.75
7,1,4,219,1,3,,3,3
7,1,4,225,1,3,,3,3
7,1,4,232,1,3,4,3.5,3.25
