year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall
7,1,1,148,3,0,,,,0,0
7,1,1,156,3,1,,,,1,1
7,1,1,162,3,1,,,,1,1
7,1,1,169,3,1,,,,1,1
7,1,1,176,3,1,2,3,,2,2.25
7,1,1,184,3,1,2,,,1.5,1.25
7,1,1,190,3,3,5,,,4,4
7,1,1,133,5,0,,,,0,0
7,1,1,143,5,1,,,,1,1
7,1,1,148,5,1,,,,1,1
7,1,1,156,5,1,,,,1,1
7,1,1,162,5,1,2,,,1.5,1.25
7,1,1,169,5,1,2,,,1.5,1.5
7,1,1,176,5,3,4,,,3.5,3.75
7,1,1,184,5,3,5,,,4,4.5
7,1,1,190,5,5,,,,5,5
7,1,2,148,1,0,,,,0,0
7,1,2,156,1,1,,,,1,1
7,1,2,162,1,1,,,,1,1
7,1,2,169,1,1,2,,,1.5,1.5
7,1,2,176,1,1,2,3,4,2.5,2.75
7,1,2,184,1,3,4,,,3.5,3.5
7,1,2,190,1,3,5,,,4,4
7,1,2,133,3,0,,,,0,0
7,1,2,143,3,1,,,,1,1
7,1,2,148,3,1,,,,1,1
7,1,2,156,3,1,2,3,,2,2
7,1,2,162,3,1,2,3,,2,2
7,1,2,169,3,2,3,4,,3,3
7,1,2,176,3,3,4,,,3.5,3.25
7,1,2,184,3,4,,,,4,4
7,1,2,190,3,5,,,,5,5
7,1,2,197,3,5,,,,5,5
7,1,2,204,3,5,6,,,5.5,5.5
7,1,3,143,2,0,,,,0,0
7,1,3,148,2,1,,,,1,1
7,1,3,156,2,1,,,,1,1
7,1,3,162,2,1,2,,,1.5,1.25
7,1,3,169,2,2,3,,,2.5,2.5
7,1,3,176,2,3,4,,,3.5,3.5
7,1,3,184,2,3,4,5,,4,4
7,1,3,190,2,3,4,5,,4,4
7,1,3,197,2,3,5,,,4,4
7,1,3,204,2,6,,,,6,6
7,1,3,133,5,0,,,,0,0
7,1,3,143,5,1,,,,1,1
7,1,3,148,5,1,,,,1,1
7,1,3,156,5,1,,,,1,1
7,1,3,162,5,1,,,,1,1
7,1,3,169,5,1,2,3,,2,2.25
7,1,3,176,5,3,4,,,3.5,3.5
7,1,3,184,5,5,,,,5,5
7,1,3,190,5,5,,,,5,5
7,1,3,197,5,5,,,,5,5
