year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,, , 
8,2,1,136,1,1,,,,,1,1,,,
8,2,1,145,1,1,2,3,,,2,1.75,,,
8,2,1,152,1,3,4,,,,3.5,3.5,,,
8,2,1,160,1,3,4,5,6,,4.5,4.5,,,
8,2,1,166,1,3,4,5,6,,4.5,5.75,,,
8,2,1,175,1,6,,,,,6,6,,,
8,2,1,136,2,1,2,,,,1.5,1.25,,,
8,2,1,145,2,1,2,3,,,2,2.75,,,
8,2,1,152,2,3,4,,,,3.5,3.25,,,
8,2,1,160,2,3,6,,,,4.5,5.75,,,
8,2,1,166,2,6,,,,,6,6,,,
8,2,1,136,3,1,2,,,,1.5,1.25,,,
8,2,1,145,3,1,2,3,,,2,2.25,,,
8,2,1,152,3,3,4,,,,3.5,3.25,,,
8,2,1,166,3,6,,,,,6,6,,,
8,2,1,136,4,1,2,,,,1.5,1.25,,,
8,2,1,145,4,1,2,3,,,2,2.25,,,
8,2,1,152,4,1,2,3,,,2,2.75,,,
8,2,1,160,4,1,3,6,,,3.333333333,3.25,,,
8,2,1,166,4,3,4,5,6,,4.5,5.75,,,
8,2,1,175,4,6,,,,,6,6,,,
8,2,1,136,5,1,2,,,,1.5,1.25,,,
8,2,1,145,5,1,2,3,,,2,2.25,,,
8,2,1,152,5,3,4,,,,3.5,3.25,,,
8,2,1,160,5,3,4,5,6,,4.5,4.25,,,
8,2,1,166,5,5,6,,,,5.5,5.75,,,
8,2,1,175,5,6,,,,,6,6,,,
8,2,2,136,1,1,2,,,,1.5,1.5,,,
8,2,2,145,1,3,4,,,,3.5,3.5,,,
8,2,2,152,1,3,4,,,,3.5,3.75,,,
8,2,2,160,1,3,4,5,6,,4.5,4.25,,,
8,2,2,166,1,6,,,,,6,6,,,
8,2,2,136,2,1,2,3,,,2,2,,,
8,2,2,145,2,3,4,,,,3.5,3.75,,,
8,2,2,152,2,3,4,5,6,,4.5,4.75,,,
8,2,2,160,2,6,,,,,6,6,,,
8,2,2,136,3,1,2,3,,,2,1.5,,,
8,2,2,145,3,3,4,,,,3.5,3.25,,,
8,2,2,152,3,3,4,5,,,4,3.75,,,
8,2,2,160,3,3,4,5,6,,4.5,5.5,,,
8,2,2,166,3,6,,,,,6,6,,,
8,2,2,136,4,1,2,,,,1.5,1.25,,,
8,2,2,145,4,3,4,,,,3.5,3.75,,,
8,2,2,152,4,3,6,,,,4.5,5.75,,,
8,2,2,160,4,6,,,,,6,6,,,
8,2,2,136,5,1,2,,,,1.5,1.25,,,
8,2,2,145,5,3,4,,,,3.5,3.75,,,
8,2,2,152,5,3,4,5,6,,4.5,4.5,,,
8,2,2,160,5,6,,,,,6,6,,,
8,2,3,136,1,1,2,,,,1.5,1.25,,,
8,2,3,145,1,3,4,,,,3.5,3.25,,,
