year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall,, , 
8,4,1,187,1,0,,,,0,0,,,
8,4,1,194,1,1,,,,1,1,,,
8,4,1,208,1,1,2,,,1.5,1.75,,,
8,4,1,218,1,2,3,4,,3,2.75,,,
8,4,1,222,1,5,6,,,5.5,5.25,,,
8,4,1,231,1,5,6,,,5.5,5.75,,,
8,4,1,236,1,5,6,,,5.5,5.75,,,
8,4,1,244,1,6,,,,6,6,,,
8,4,1,187,2,0,,,,0,0,,,
8,4,1,194,2,1,,,,1,1,,,
8,4,1,208,2,2,3,,,2.5,2.75,,,
8,4,1,218,2,2,3,4,,3,3,,,
8,4,1,222,2,5,6,,,5.5,5.25,,,
8,4,1,231,2,5,6,,,5.5,5.75,,,
8,4,1,236,2,5,6,,,5.5,5.75,,,
8,4,1,244,2,6,,,,6,6,,,
8,4,1,187,3,0,,,,0,0,,,
8,4,1,194,3,1,,,,1,1,,,
8,4,1,208,3,1,,,,1,1,,,
8,4,1,218,3,2,3,4,,3,3.25,,,
8,4,1,222,3,5,6,,,5.5,5.75,,,
8,4,1,231,3,5,6,,,5.5,5.75,,,
8,4,1,236,3,5,6,,,5.5,5.75,,,
8,4,1,244,3,6,,,,6,6,,,
8,4,2,194,2,1,2,,,1.5,1.25,,,
8,4,2,208,2,1,2,3,4,2.5,3.25,,,
8,4,2,218,2,5,,,,5,5,,,
8,4,2,222,2,5,6,,,5.5,5.75,,,
8,4,2,231,2,6,,,,6,6,,,
8,4,3,187,1,0,,,,0,0,,,
8,4,3,194,1,1,,,,1,1,,,
8,4,3,208,1,2,,,,2,2,,,
8,4,3,218,1,3,4,5,,4,3.75,,,
8,4,3,222,1,5,6,,,5.5,5.25,,,
8,4,3,231,1,5,6,,,5.5,5.75,,,
8,4,3,236,1,5,6,,,5.5,5.75,,,
8,4,3,244,1,6,,,,6,6,,,
8,4,3,187,2,0,,,,0,0,,,
8,4,3,194,2,1,,,,1,1,,,
8,4,3,208,2,2,,,,2,2,,,
8,4,3,218,2,4,5,,,4.5,4.5,,,
8,4,3,222,2,5,6,,,5.5,5.5,,,
8,4,3,231,2,5,6,,,5.5,5.75,,,
8,4,3,236,2,5,6,,,5.5,5.75,,,
8,4,3,244,2,6,,,,6,6,,,
8,4,3,187,3,0,,,,0,0,,,
8,4,3,194,3,1,,,,1,1,,,
8,4,3,208,3,2,,,,2,2,,,
8,4,3,218,3,3,4,5,,4,4.25,,,
8,4,3,222,3,5,6,,,5.5,5.25,,,
8,4,3,231,3,5,6,,,5.5,5.75,,,
8,4,3,236,3,5,6,,,5.5,5.75,,,
8,4,3,244,3,6,,,,6,6, ,,
8,4,3,187,4,0,,,,0,0,,,
8,4,3,194,4,1,,,,1,1,,,
8,4,3,208,4,1,,,,1,1,,,
8,4,3,218,4,4,,,,4,4,,,
8,4,3,222,4,5,6,,,5.5,5.75,,,
8,4,3,231,4,5,6,,,5.5,5.75,,,
8,4,3,236,4,5,6,,,5.5,5.75,,,
8,4,3,244,4,6,,,,6,6,,,
8,4,3,187,5,0,,,,0,0,,,
8,4,3,194,5,1,,,,1,1,,,
8,4,3,208,5,1,2,,,1.5,1.75,,,
8,4,3,218,5,4,,,,4,4,,,
8,4,3,222,5,5,6,,,5.5,5.75,,,
8,4,3,231,5,5,6,,,5.5,5.75,,,
8,4,3,236,5,5,6,,,5.5,5.75,,,
8,4,3,244,5,6,,,,6,6,,,
8,4,4,187,5,0,,,,0,0,,,
8,4,4,194,5,1,,,,1,1,,,
8,4,4,208,5,1,2,3,,2,2.75,,,
8,4,4,218,5,5,,,,5,5,,,
8,4,4,222,5,5,6,,,5.5,5.75,,,
8,4,4,231,5,5,6,,,5.5,5.75,,,
8,4,4,236,5,5,6,,,5.5,5.75,,,
8,4,4,244,5,6,,,,6,6,,,
8,4,5,187,2,0,,,,0,0,,,
8,4,5,194,2,1,,,,1,1,,,
8,4,5,208,2,1,,,,1,1,,,
8,4,5,218,2,2,3,4,5,3.5,4.25,,,
8,4,5,222,2,5,6,,,5.5,5.75,,,
8,4,5,231,2,5,6,,,5.5,5.75,,,
8,4,5,236,2,5,6,,,5.5,5.75,,,
8,4,5,244,2,6,,,,6,6,,,
8,4,10,194,2,2,,,,2,2,,,
8,4,10,208,2,2,3,4,,3,3.25,,,
8,4,10,218,2,5,6,,,5.5,5.25,,,
8,4,10,222,2,5,6,,,5.5,5.75,,,
8,4,10,231,2,6,,,,6,6,,,
