1992 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,,,,,,,
IPOMOP,AGGREGATA,,,FRUIT SET = VIABLE FRS./TOTAL FRS.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PLOT,SP,IND,DIST,6/23/92,COMMENTS,6/29/92,7/6/92,COMMENTS,7/13/92,7/21/92,COMMENTS,7/27/92,8/3/92,8/10/92,COMMENTS,8/17/92,COMMENTS,8/23/92,COMMENTS,9/5/92,COMMENTS
1,IA,1,0.68,,,12,12345,,1245,1245,,12345,123456,156,,56,63/77,,,,
1,IA,2,0.88,,,1,124,,12345,1245,,12345,12345,1245,,245,,145,,56,39/69
1,IA,3,2.2,,,1,12,,1245,1245,,12345,45,245,,5,,5,,56,14/34
1,IA,4,4.8,,,1,12,,1234,1245,,1245,45,15,,15,,25,,56,51/68
1,IA,5,5.3,,,12,12345,,12345,12345,,12345,5,12456,,145,,25,,56,20/30
2,IA,1,0.4,1,NWPLTD=.3,1,12345,,1245,12345,,12345,1456,56,,56,22/32,,,,
2,IA,2,1.1,,,12,12345,,12345,12345,,12345,123456,12456,,12456,,2345,,56,32/51
3,IA,1,2.3,,,12,12345,,12345,12345,,12345,123456,1256,,1245,,12345,,56,24/42
3,IA,2,2.8,,,1,12,,12345,12345,,12345,12345,1245,,245,,345,,56,40/68
3,IA,3,2.8,,,1,1,,1234,1234,,12345,12345,12345,,245,,345,,56,17/51
4,IA,1,2.7,,,1,1,,13,1245,,12345,1245,15,,45,,5,,56,13/19
4,IA,2,1.1,2,,12,1245,,12345,1245,,2345,56,1456,,56,41/56,,,,
4,IA,3,1.4,2,,12,12345,,12345,12345,,12345,123456,12345,,1245,,12345,,6,4/139 FROZE
4,IA,4,2.4,2,,123,1245,,1245,12345,,12345,1245,2456,,56,58/76,,,,
4,IA,5,2.5,,,12,12345,,1245,12345,,245,5,56,,56,38/55,,,,
5,IA,1,4.3,,,12,1245,,12345,12345,,2345,5,5,MOSTEATN,,EAT,,,,
5,IA,2,4.3,,,1,1245,,12345,12345,,1245,1245,5,MOSTEATN,,EAT,,,,
5,IA,3,4.6,,,1,1234,,1234,345,,12345,12345,12345,,1245,,1245,,,0/20FROZE
5,IA,4,4.6,,,1,123,,1234,12345,,2345,12345,2345,,1245,,25,,56,45/87
5,IA,5,6.3,,,12,12345,,12345,12345,,12345,12345,12345,,1245,,12345,,56,96/146
6,IA,1,0.2,,,1,1234,,12345,1245,,1245,5,145,,5,,5,,56,17-Nov
7,IA,1,3.6,,,12,12345,BENT,12345,12345,STLKSPLT,2345,1245,1245,,,EAT,,EAT,,
7,IA,2,3.3,,,1,12,,123,1245,,12345,12345,1245,,2345,,345,,56,19/35
7,IA,3,"3,DAMAGE",,NEW(D=2.9),12,1234,DAMAGED,13,12,,1234,1234,12345,,1245,,12345,,,10/31CLIP
9,IA,1,4.2,34,,123,1234,2STLKEAT,12345,12345,,12345,12345,123456,,1245,,12345,,56,48/181
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1992 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,,,,,,,
,,,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,,,,,,,,
JDATE,,,36700,36706,36713,36720,36728,36734,36741,36748,36755,36761,36774,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
