1992 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,
MERTENSIA FUSIFORMES,,,,,X/Y=FRUITS/FLOWERS,,,,,,,,,
,,,,,,,,,,,,,,
PLOT,#,SPE,DIST,5/18/92,5/25/92,COMMENT,6/1/92,COMMENT,6/8/92,COMMENT,6/15/92,COMMENT,6/22/92,COMMENTS
1,1,MF,1.1,1,12345,,12345,,456,,6,15/22,,
1,2,MF,1.9,1,124,,12345,NEW?,12345,,56,24/27,,
1,3,MF,4.2,12,1234,,12345,,245,,56,21/29,,
1,4,MF,5.8,1,1234,,12345,,245,,56,18/31,,
1,5,MF,5.9,1,1234,,12345,,245,,56,16/28,,
2,1,MF,0.9,12,12345,,2345,,45,,56,17/20,,
2,2,MF,2.5,12,245,,345,,5,,56,10/14,,
2,3,MF,4.5,12,1245,,12345,,245,,56,20/28,,
2,4,MF,4.9,12,1245,,1245,,5,,56,14/22,,
2,5,MF,5.2,1,1234,,12345,,12345,,345,,21/34,
3,1,MF,1.0,1,124,,12345,,5,,56,10/17,,
3,2,MF,1.5,1,1245,,12345,,345,,56,12/17,,
3,3,MF,2.1,1,123,,12345,NEW,2345,,56,14/24,,
3,4,MF,2.2,12,123,,12345,,5,,56,18/30,,
3,5,MF,1.9,1,1234,,12345,,2345,,56,26/47,,
4,1,MF,1.2,1234,2345,,3456,,56,,6,13/23,,
4,2,MF,1.3,1234,245,,3456,,56,,6,15/23,,
4,3,MF,2.6,123,12345,,3456,,45,,6,18/42,,
4,4,MF,2.9,12,124,,12345,,2456,,56,21/21,,
4,5,MF,3.3,12,1245,,12345,,2456,,56,25/33,,
5,1,MF,1.4,12,12345,,1345,,56,,56,27/38,,
5,2,MF,3.0,12,1234,,345,,56,,56,18/23,,
5,3,MF,3.2,1234,12345,,123456,,56,,56,38/58,,
5,4,MF,3.3,12,1234,,345,,5,,56,14/17,,
5,5,MF,6.7,12,12345,,12345,,2345,,56,26/33,,
6,1,MF,2.0,123,12345,,245,,5,,56,5/12,,
6,2,MF,3.3,12345,1245,,23456,,56,,56,45/46,,
6,3,MF,4.7,12,1234,,12345,,12456,,456,,,
6,4,MF,4.9,123,12345,,12345,,56,,56,39/44,,
6,5,MF,5.7,1234,245,,456,,56,,6,15/22,,
7,1,MF,0.7,124,124,,345,,5,,6,8/17,,
7,2,MF,4.2,1234,245,,456,,56,,6,17/26,,
7,3,MF,4.9,12345,45,,456,,56,,6,,6,5/28
7,4,MF,5.1,1234,245,,3456,,56,,6,11/16,,
7,5,MF,8.6,123,245,,45,,5,,6,16/20,,
8,1,MF,0.8,1234,245,,45,,56,,6,20/21,,
8,2,MF,5.6,12345,246,EAT;NEWPL,456,,6,,6,17/24,,
8,3,MF,6.9,12345,345,,56,,13/36,BIT.OFF,,,,
8,4,MF,7.1,2345,345,,456,,56,,6,12/27,,
8,5,MF,7.9,2345,45,,5,,56,,6,12/21,,
9,1,MF,1.3,1234,345,,45,,56,,FRZ,2/14,,
9,2,MF,6.2,123,12345,,12345,,245,,56,19/40,,
9,3,MF,6.8,12345,345,,456,,56,,6,9/35,,
9,4,MF,7.0,1234,245,,45,,5,,,EATEN,,
9,5,MF,7.2,12345,45,,456,,56,,6,22/62,,
10,1,MF,2.4,2345,45,,56,,56,,FRZ,9/28,,
10,2,MF,6.1,12345,456,,56,,56,,,FRZ,10/25,FROZ
10,3,MF,6.5,12345,245,,456,,56,,FRZ,22/53,,
10,4,MF,7.6,1234,2345,,345,,5,,6,22/24,,
10,5,MF,7.7,1234,2345,,456,,56,,6,25/45,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,12/31/91,
,,,,36664,36671,ERR,36678,ERR,36685,ERR,36692,ERR,36699,
PLOT,,,,5/18/92,5/25/92,COMMENT,6/1/92,COMMENT,6/8/92,COMMENT,6/15/92,COMMENT,6/22/92,
