1994 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,
MERTENSIA FUSIFORMES,,,,,,,,,,,,,
,,,,,,,,,,,,,
PLOT,#,SPE,DIST,05/31/94,COMMENT,06/06/94,COMMENT,06/13/94,COMMENT,06/20/94,COMMENT,06/27/94,comment
1,1,MF,2.8,1,,123,,456,,6,1/7,,
1,2,MF,2.85,1,,1234,,245,,56,4/11,,
1,3,MF,3.6,1,,13,,4,,56,0/4,,
1,4,MF,3.61,1,,23,,456,,56,1/7,,
1,5,MF,4.4,1,,1234,,245,,6,26/45,,
2,1,MF,2.7,12,,12345,,456,,56,9/30,,
2,2,MF,3.8,12,,12345,,456,,56,29/50,,
2,3,MF,4.45,1,,24,,45,,6,0/4,,
2,4,MF,4.5,12,,1234,,45,,56,9/20,,
2,5,MF,4.8,123,,2345,,45,,56,14/39,,
3,1,MF,1,1,,1234,,12345,,456,13/42,,
3,2,MF,1.5,1,,1234,,2345,,456,10/17,,
3,3,MF,2.2,1,,123,,345,,56,17/28,,
3,4,MF,2.25,12,,12345,,23456,,456,30/67,,
3,5,MF,2.4,1,,124,,345,,6,6/15,,
4,1,MF,0.9,12,,2345,,456,,56,6/22,,
4,2,MF,1.3,12,,12345,,45,,56,31/52,,
4,3,MF,1.65,12,,12345,,12345,,456,67/99,,
4,4,MF,1.85,123,,12345,,45,,56,34/70,,
4,5,MF,1.9,12,,,CLIPPED,,,,,,
5,1,MF,1.4,1,,12345,,245,,56,4/11,,
5,2,MF,1.5,12,,12345,,3456,,56,32/54,,
5,3,MF,1.6,1,,1234,,45,,6,7/23,,
5,4,MF,3.4,12,,12345,,45,,56,41/66,,
5,5,MF,4.7,1,,1234,,2345,,56,44/73,,
6,1,MF,1.3,12,,2345,,45,,56,26/39,,
6,2,MF,1.5,12,,235,,45,,6,5/14,,
6,3,MF,2,123,,345,,456,,56,4/13,,
6,4,MF,3.3,1234,,45,,456,,6,5/19,,
6,5,MF,4.8,1234,,345,,45,,56,34/49,,
7,1,MF,0.6,12,,12345,,456,,6,15/52,,
7,2,MF,1.6,12,,12345,,456,,6,14/53,,
7,3,MF,3.3,1234,,12345,,456,,56,23/54,,
7,4,MF,5,12345,,12345,,45,,6,5/56,,
7,5,MF,5.7,1234,,245,,456,,6,9/22,,
8,1,MF,0.7,12345,,12345,,456,,56,56/86,,
8,2,MF,1.4,124,,345,,456,,6,7/13,,
8,3,MF,3,245,,45,,56,,6,4/8,,
8,4,MF,5.1,2345,,45,,456,,6,8/12,,
8,5,MF,5.6,12345,,345,,456,,56,10/34,,
9,1,MF,1.7,1234,,2345,,456,,6,33/79,,
9,2,MF,3.8,234,,345,,45,,6,20/26,,
9,3,MF,5.9,1234,,12345,,45,,6,25/51,,
9,4,MF,6.3,2345,,2345,,456,,6,28/43,,
9,5,MF,7.8,12,,234,,45,,46,2/8,,
10,1,MF,2.2,1234,,345,,45,,6,12/33,,
10,2,MF,3.8,1245,,45,,45,,,missing,,
10,3,MF,5.9,12345,,45,,45,,6,10/24,,
10,4,MF,6.5,234,,4,,45,,6,7/7,,
10,5,MF,9,1234,,12345,,45,,456,,56,38/49
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PLOT,,,,,,,,,,,,,
