YEAR,JD,Plot, Air 15 cm,7.5cm,Air_SD,7.5_SD
2004,171,1,20.964001,24.431,0.04382,0.00884
2004,171,2,20.778,24.586,0.03479,0.00826
2004,171,3,21.087999,24.218,0.01707,0.00838
2004,171,4,-99999,24.594999,0,0.00934
2004,171,5,-99999,-99999,0,0
2004,171,6,21.128,23.851999,0.04929,0.00842
2004,171,7,-99999,23.827999,0,0.00546
2004,171,8,23.023001,21.034,0.0127,0.02203
2004,171,9,21.194,23.702999,0.03708,0.00566
2004,171,10,21.285,23.945,0.03445,0.00668
2004,171,11,21.173,23.288,0.03507,0.00474
2004,171,12,23.563999,23.638,0.00673,0.00608
2004,171,13,21.268999,23.306999,0.02197,0.0049
2004,171,14,21.134001,23.694,0.03199,0.00578
2004,171,15,23.121,21.375999,0.00541,0.01941
2004,171,16,21.139999,23.704,0.01794,0.00651
2004,171,17,-99999,-99999,0,0
2004,171,18,21.091,24.177999,0.01627,0.00818
2004,171,19,21.193001,24.195999,0.04608,0.00742
2004,171,20,21.07,24.228001,0.01853,0.00556
2004,171,1,20.962,24.403,0.03283,0.00894
2004,171,2,20.743999,24.563,0.04608,0.0071
2004,171,3,21.061001,24.195,0.03509,0.00745
2004,171,4,-99999,24.566,0,0.00955
2004,171,5,-99999,-99999,0,0
2004,171,6,21.138,23.827999,0.03978,0.00785
2004,171,7,-99999,23.815001,0,0.00549
2004,171,8,23.023001,21.006001,0.00593,0.06178
2004,171,9,21.194,23.688999,0.03376,0.00572
2004,171,10,21.284,23.927999,0.0292,0.00637
2004,171,11,21.139999,23.283001,0.03128,0.00498
2004,171,12,23.545,23.625,0.00712,0.00532
2004,171,13,21.271999,23.305,0.02398,0.00453
2004,171,14,21.101,23.677,0.04179,0.00624
2004,171,15,23.112,21.367001,0.0052,0.02954
2004,171,16,21.132999,23.684,0.01186,0.00697
2004,171,17,-99999,-99999,0,0
2004,171,18,21.084999,24.150999,0.02676,0.00872
2004,171,19,21.184,24.173,0.05079,0.00752
2004,171,20,21.075001,24.212,0.01557,0.00614
2004,171,1,21.156,24.379,0.14846,0.00844
2004,171,2,20.924999,24.544001,0.15669,0.00725
2004,171,3,21.17,24.174999,0.09085,0.00759
2004,171,4,-99999,24.540001,0,0.00966
2004,171,5,-99999,-99999,0,0
2004,171,6,21.322001,23.804001,0.10152,0.00844
2004,171,7,-99999,23.806,0,0.00509
2004,171,8,23.042999,21.131001,0.01311,0.11293
2004,171,9,21.354,23.68,0.10613,0.00667
2004,171,10,21.445999,23.913,0.09455,0.00672
2004,171,11,21.285,23.280001,0.08869,0.00412
2004,171,12,23.530001,23.611,0.00633,0.00607
2004,171,13,21.392,23.306,0.05966,0.00495
2004,171,14,21.304001,23.663,0.12482,0.00556
2004,171,15,23.106001,21.424,0.00508,0.06547
2004,171,16,21.235001,23.664,0.07813,0.00731
2004,171,17,-99999,-99999,0,0
2004,171,18,21.16,24.129,0.07984,0.00667
2004,171,19,21.375,24.153,0.13511,0.00819
2004,171,20,21.157,24.195999,0.08423,0.00621
2004,171,1,21.417,24.357,0.0365,0.00797
2004,171,2,21.288,24.52,0.02653,0.00838
2004,171,3,21.419001,24.159,0.02791,0.00766
2004,171,4,-99999,24.516001,0,0.00848
2004,171,5,-99999,-99999,0,0
2004,171,6,21.521,23.781,0.03517,0.00795
2004,171,7,-99999,23.795,0,0.00543
2004,171,8,23.091999,21.448999,0.0144,0.03351
2004,171,9,21.628,23.659,0.02657,0.00743
2004,171,10,21.768999,23.898001,0.05372,0.00531
2004,171,11,21.518999,23.284,0.03843,0.00484
2004,171,12,23.513,23.596001,0.00615,0.00546
2004,171,13,21.577999,23.301001,0.02768,0.00464
2004,171,14,21.518999,23.645,0.03025,0.00711
2004,171,15,23.106001,21.66,0.00493,0.03371
2004,171,16,21.438,23.645,0.03447,0.00679
2004,171,17,-99999,-99999,0,0
2004,171,18,21.406,24.106001,0.03046,0.00802
2004,171,19,21.565001,24.131001,0.04215,0.00764
2004,171,20,21.416,24.179001,0.04314,0.00606
2004,171,1,21.243,24.337,0.07248,0.00762
2004,171,2,21.07,24.5,0.08785,0.0079
2004,171,3,21.299999,24.141001,0.06875,0.00729
2004,171,4,-99999,24.492001,0,0.00805
2004,171,5,-99999,-99999,0,0
2004,171,6,21.334,23.763,0.05722,0.00665
2004,171,7,-99999,23.790001,0,0.00503
2004,171,8,23.082001,21.320999,0.01036,0.06039
2004,171,9,21.448999,23.65,0.0471,0.00498
