"Soil Moisture Average for each treatment (control, water, heat, both) for each of 5 depths",,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 = 0-15cm, 2=15-30cm, 3= 30-60cm, 4=60-90cm, 5 = 90-120cm",,,,,,,,,,,,,,,,,,,,,,,
Date,Day of Year,C1,C2,C3,C4,C5,W1,W2,W3,W4,W5,H1,H2,H3,H4,H5,B1,B2,B3,B4,B5,C AVG,W AVG,H AVG,B AVG
1-Jan-03,1,26.03,31.65,33.37,32.65,40.55,23.79,29.73,34.82,33.8,38.79,26.19,32.6,34.07,32.33,37.88,28.39,30.3,34.72,31.07,39.13,32.85,32.18,32.61,32.72
2-Jan-03,2,25.41,31.45,33.47,32.63,40.48,23.44,29.52,35.25,33.73,38.85,26.26,32.48,34.25,32.59,37.97,27.74,30.27,34.71,31.33,39.22,32.69,32.16,32.71,32.65
3-Jan-03,3,25.31,31.23,33.16,32.62,40.5,23.09,29.31,34.83,33.56,38.63,25.42,32.08,34.06,32.81,37.82,27.93,30.3,34.71,31.15,39.22,32.57,31.88,32.44,32.66
4-Jan-03,4,25.11,31.21,33.26,32.52,40.43,22.84,29.21,34.87,33.71,38.65,25.31,32.06,34.12,32.53,37.78,28,30.11,34.65,31.18,39.1,32.51,31.86,32.36,32.61
5-Jan-03,5,24.91,31.08,33.43,32.55,40.44,22.64,29.13,35.17,33.62,38.58,24.94,31.95,34.27,32.84,37.96,27.42,29.69,34.67,31.23,39.17,32.48,31.83,32.39,32.44
6-Jan-03,6,24.63,30.88,33.53,32.67,40.46,22.33,28.84,35.45,33.9,38.43,24.56,31.69,34.5,32.79,37.89,26.59,29.77,34.8,31.24,39.31,32.43,31.79,32.28,32.34
7-Jan-03,7,24.75,30.97,33.23,32.67,40.54,22.06,28.6,35.01,33.75,38.62,24.03,31.64,33.98,32.64,37.97,27.12,29.65,34.64,31.21,39.16,32.43,31.61,32.05,32.36
8-Jan-03,8,24.54,30.89,33.09,32.47,40.57,22.02,28.69,34.83,33.58,38.47,24.07,31.62,33.94,32.79,37.89,26.72,29.21,34.68,31.27,39.1,32.31,31.52,32.06,32.2
9-Jan-03,9,24.23,30.71,33.47,32.43,40.56,21.89,28.46,35.06,33.6,38.4,23.79,31.52,34.43,32.43,37.98,26.09,29.22,34.59,31.27,39.25,32.28,31.48,32.03,32.08
10-Jan-03,10,24.15,30.59,33.2,32.55,40.61,21.34,28.12,34.92,33.77,38.52,23.99,31.19,34.15,32.79,37.97,26.13,28.75,34.72,31.41,39.22,32.22,31.33,32.02,32.05
11-Jan-03,11,23.8,30.37,33.13,32.61,40.68,21.26,27.84,34.93,33.72,38.53,23.59,31.04,34.18,32.69,38.05,26.27,28.84,34.58,31.16,39.33,32.12,31.26,31.91,32.04
