site,plot,event,year,doy,date,genus
harvard,NA,bbd,1990,Fagus,grandifolia,121
harvard,NA,bbd,1991,Fagus,grandifolia,122
harvard,NA,bbd,1992,Fagus,grandifolia,132
harvard,NA,bbd,1993,Fagus,grandifolia,118
harvard,NA,bbd,1994,Fagus,grandifolia,124
harvard,NA,bbd,1995,Fagus,grandifolia,128
harvard,NA,bbd,1996,Fagus,grandifolia,128
harvard,NA,bbd,1997,Fagus,grandifolia,129
harvard,NA,bbd,1998,Fagus,grandifolia,119
harvard,NA,bbd,1999,Fagus,grandifolia,123
harvard,NA,bbd,2000,Fagus,grandifolia,126
harvard,NA,bbd,2001,Fagus,grandifolia,122
harvard,NA,bbd,2002,Fagus,grandifolia,114
harvard,NA,bbd,2003,Fagus,grandifolia,125
harvard,NA,bbd,2004,Fagus,grandifolia,121
harvard,NA,bbd,2005,Fagus,grandifolia,122
harvard,NA,bbd,2006,Fagus,grandifolia,124
harvard,NA,bbd,2007,Fagus,grandifolia,124
harvard,NA,bbd,2008,Fagus,grandifolia,118
harvard,NA,bbd,2009,Fagus,grandifolia,117
harvard,NA,bbd,2010,Fagus,grandifolia,110
harvard,NA,bbd,2011,Fagus,grandifolia,119
harvard,NA,bbd,2012,Fagus,grandifolia,109
harvard,NA,bbd,2013,Fagus,grandifolia,122
harvard,NA,bbd,2014,Fagus,grandifolia,132
harvard,NA,bbd,1990,Acer,rubrum,118
harvard,NA,bbd,1991,Acer,rubrum,116
harvard,NA,bbd,1992,Acer,rubrum,125
harvard,NA,bbd,1993,Acer,rubrum,118
harvard,NA,bbd,1994,Acer,rubrum,124
harvard,NA,bbd,1995,Acer,rubrum,128
harvard,NA,bbd,1996,Acer,rubrum,122
harvard,NA,bbd,1997,Acer,rubrum,125
harvard,NA,bbd,1998,Acer,rubrum,114
harvard,NA,bbd,1999,Acer,rubrum,123
harvard,NA,bbd,2000,Acer,rubrum,126
harvard,NA,bbd,2001,Acer,rubrum,122
harvard,NA,bbd,2002,Acer,rubrum,109
harvard,NA,bbd,2003,Acer,rubrum,125
harvard,NA,bbd,2004,Acer,rubrum,118
harvard,NA,bbd,2005,Acer,rubrum,122
harvard,NA,bbd,2006,Acer,rubrum,118
harvard,NA,bbd,2007,Acer,rubrum,124
harvard,NA,bbd,2008,Acer,rubrum,118
harvard,NA,bbd,2009,Acer,rubrum,117
harvard,NA,bbd,2010,Acer,rubrum,103
harvard,NA,bbd,2011,Acer,rubrum,122
harvard,NA,bbd,2012,Acer,rubrum,109
harvard,NA,bbd,2013,Acer,rubrum,122
harvard,NA,bbd,2014,Acer,rubrum,132
clarkharvard,G01,bbd,2010,Acer,rubrum,111
clarkharvard,G01,bbd,2010,Acer,rubrum,105
clarkharvard,G01,bbd,2010,Acer,rubrum,105
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2011,Acer,rubrum,110
clarkharvard,G01,bbd,2012,Acer,rubrum,94
clarkharvard,G01,bbd,2012,Acer,rubrum,108
clarkharvard,G01,bbd,2012,Acer,rubrum,94
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,108
clarkharvard,G01,bbd,2012,Acer,rubrum,86
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,108
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,86
clarkharvard,G01,bbd,2012,Acer,rubrum,108
clarkharvard,G01,bbd,2012,Acer,rubrum,108
clarkharvard,G01,bbd,2012,Acer,rubrum,86
clarkharvard,G01,bbd,2012,Acer,rubrum,108
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,94
clarkharvard,G01,bbd,2012,Acer,rubrum,103
clarkharvard,G01,bbd,2012,Acer,rubrum,108
clarkharvard,G01,lud,2010,Acer,rubrum,105
