site,block,plot,temptreat,target,reported,temptreat_units,preciptreat,preciptreat_amt,preciptreat_units
marchin,NA,1,1,1.5,1.9,C,NA,NA,NA
marchin,NA,2,0,NA,NA,NA,NA,NA,NA
marchin,NA,3,1,1.5,1.9,C,NA,NA,NA
marchin,NA,4,1,1.5,1.9,C,NA,NA,NA
marchin,NA,5,0,NA,NA,NA,NA,NA,NA
marchin,NA,6,1,1.5,1.9,C,NA,NA,NA
marchin,NA,7,1,1.5,1.9,C,NA,NA,NA
marchin,NA,8,1,1.5,1.9,C,NA,NA,NA
marchin,NA,9,1,1.5,1.9,C,NA,NA,NA
marchin,NA,10,1,1.5,1.9,C,NA,NA,NA
marchin,NA,11,0,NA,NA,NA,NA,NA,NA
marchin,NA,12,1,1.5,1.9,C,NA,NA,NA
marchin,NA,ambient,ambient,NA,NA,NA,ambient,NA,NA
farnsworth,1,1,1,5,5,C,NA,NA,NA
farnsworth,4,10,0,NA,NA,NA,NA,NA,NA
farnsworth,4,11,ambient,NA,NA,NA,NA,NA,NA
farnsworth,4,12,1,5,5,C,NA,NA,NA
farnsworth,5,13,0,NA,NA,NA,NA,NA,NA
farnsworth,5,14,ambient,NA,NA,NA,NA,NA,NA
farnsworth,5,15,1,5,5,C,NA,NA,NA
farnsworth,6,16,1,5,5,C,NA,NA,NA
farnsworth,6,17,0,NA,NA,NA,NA,NA,NA
farnsworth,6,18,ambient,NA,NA,NA,NA,NA,NA
farnsworth,1,2,ambient,NA,NA,NA,NA,NA,NA
farnsworth,1,3,0,NA,NA,NA,NA,NA,NA
farnsworth,2,4,ambient,NA,NA,NA,NA,NA,NA
farnsworth,2,5,0,NA,NA,NA,NA,NA,NA
farnsworth,2,6,1,5,5,C,NA,NA,NA
farnsworth,3,7,ambient,NA,NA,NA,NA,NA,NA
farnsworth,3,8,1,5,5,C,NA,NA,NA
farnsworth,3,9,0,NA,NA,NA,NA,NA,NA
clarkharvard,NA,G01,1,3,3,C,NA,NA,NA
clarkharvard,NA,G02,0,NA,NA,NA,NA,NA,NA
clarkharvard,NA,G03,2,5,4,C,NA,NA,NA
clarkharvard,NA,G04,0,NA,NA,NA,NA,NA,NA
clarkharvard,NA,G05,2,5,4,C,NA,NA,NA
clarkharvard,NA,G06,1,3,3,C,NA,NA,NA
clarkharvard,NA,G07,0,NA,NA,NA,NA,NA,NA
clarkharvard,NA,G08,1,3,3,C,NA,NA,NA
clarkharvard,NA,G09,2,5,4,C,NA,NA,NA
clarkharvard,NA,G10,ambient,NA,NA,NA,NA,NA,NA
clarkharvard,NA,G11,ambient,NA,NA,NA,NA,NA,NA
clarkharvard,NA,G12,ambient,NA,NA,NA,NA,NA,NA
clarkharvard,NA,S01,2,5,4,C,NA,NA,NA
clarkharvard,NA,S02,0,NA,NA,NA,NA,NA,NA
clarkharvard,NA,S03,1,3,3,C,NA,NA,NA
clarkharvard,NA,S04,2,5,4,C,NA,NA,NA
clarkharvard,NA,S05,0,NA,NA,NA,NA,NA,NA
clarkharvard,NA,S06,1,3,3,C,NA,NA,NA
clarkharvard,NA,S07,0,NA,NA,NA,NA,NA,NA
clarkharvard,NA,S08,1,3,3,C,NA,NA,NA
clarkharvard,NA,S09,2,5,4,C,NA,NA,NA
clarkharvard,NA,S10,ambient,NA,NA,NA,NA,NA,NA
clarkharvard,NA,S11,ambient,NA,NA,NA,NA,NA,NA
clarkharvard,NA,S12,ambient,NA,NA,NA,NA,NA,NA
clarkduke,NA,G01,0,NA,NA,NA,NA,NA,NA
clarkduke,NA,G02,2,5,4,C,NA,NA,NA
clarkduke,NA,G03,1,3,3,C,NA,NA,NA
clarkduke,NA,G04,0,NA,NA,NA,NA,NA,NA
clarkduke,NA,G05,1,3,3,C,NA,NA,NA
clarkduke,NA,G06,2,5,4,C,NA,NA,NA
clarkduke,NA,G07,0,NA,NA,NA,NA,NA,NA
clarkduke,NA,G08,2,5,4,C,NA,NA,NA
clarkduke,NA,G09,1,3,3,C,NA,NA,NA
clarkduke,NA,G10,ambient,NA,NA,NA,NA,NA,NA
clarkduke,NA,G11,ambient,NA,NA,NA,NA,NA,NA
clarkduke,NA,G12,ambient,NA,NA,NA,NA,NA,NA
clarkduke,NA,S01,2,5,4,C,NA,NA,NA
clarkduke,NA,S02,1,3,3,C,NA,NA,NA
clarkduke,NA,S03,0,NA,NA,NA,NA,NA,NA
clarkduke,NA,S04,0,NA,NA,NA,NA,NA,NA
clarkduke,NA,S05,1,3,3,C,NA,NA,NA
clarkduke,NA,S06,2,5,4,C,NA,NA,NA
clarkduke,NA,S07,2,5,4,C,NA,NA,NA
clarkduke,NA,S08,0,NA,NA,NA,NA,NA,NA
clarkduke,NA,S09,1,3,3,C,NA,NA,NA
clarkduke,NA,S10,ambient,NA,NA,NA,NA,NA,NA
clarkduke,NA,S11,ambient,NA,NA,NA,NA,NA,NA
clarkduke,NA,S12,ambient,NA,NA,NA,NA,NA,NA
bace,1,1,0,NA,NA,NA,-1,NA,NA
bace,1,2,1,200,NA,Watts,-1,50,perc
bace,1,3,2,600,NA,Watts,-1,50,perc
bace,1,4,3,1000,NA,Watts,-1,50,perc
bace,1,5,3,NA,NA,NA,0,NA,NA
bace,1,6,2,NA,NA,NA,0,NA,NA
bace,1,7,1,NA,NA,NA,0,NA,NA
bace,1,8,0,NA,NA,NA,0,NA,NA
bace,1,9,3,1000,NA,Watts,1,150,perc
bace,1,10,2,600,NA,Watts,1,150,perc
bace,1,11,1,200,NA,Watts,1,150,perc
bace,1,12,0,NA,NA,NA,1,NA,NA
bace,2,13,3,NA,NA,NA,0,NA,NA
bace,2,14,2,NA,NA,NA,0,NA,NA
bace,2,15,1,NA,NA,NA,0,NA,NA
bace,2,16,0,NA,NA,NA,0,NA,NA
bace,2,17,0,NA,NA,NA,1,NA,NA
bace,2,18,1,200,NA,Watts,1,150,perc
bace,2,19,2,600,NA,Watts,1,150,perc
bace,2,20,3,1000,NA,Watts,1,150,perc
bace,2,21,3,1000,NA,Watts,-1,50,perc
bace,2,22,2,600,NA,Watts,-1,50,perc
bace,2,23,1,200,NA,Watts,-1,50,perc
bace,2,24,0,NA,NA,NA,-1,NA,NA
bace,3,25,0,NA,NA,NA,1,NA,NA
bace,3,26,1,200,NA,Watts,1,150,perc
bace,3,27,2,600,NA,Watts,1,150,perc
bace,3,28,3,1000,NA,Watts,1,150,perc
bace,3,29,3,NA,NA,NA,0,NA,NA
bace,3,30,2,NA,NA,NA,0,NA,NA
bace,3,31,1,NA,NA,NA,0,NA,NA
bace,3,32,0,NA,NA,NA,0,NA,NA
bace,3,33,0,NA,NA,NA,-1,NA,NA
bace,3,34,1,200,NA,Watts,-1,50,perc
bace,3,35,2,600,NA,Watts,-1,50,perc
bace,3,36,3,1000,NA,Watts,-1,50,perc
ellison,NA,1,9,5.5,5.2,C,NA,NA,NA
ellison,NA,2,6,4,4,C,NA,NA,NA
ellison,NA,3,2,2,2,C,NA,NA,NA
ellison,NA,4,0,NA,NA,NA,NA,NA,NA
ellison,NA,5,8,5,4.6,C,NA,NA,NA
ellison,NA,6,0,NA,NA,NA,NA,NA,NA
ellison,NA,7,4,3,2.6,C,NA,NA,NA
ellison,NA,8,1,1.5,1.4,C,NA,NA,NA
ellison,NA,9,3,2.5,2.3,C,NA,NA,NA
ellison,NA,10,7,4.5,4.3,C,NA,NA,NA
ellison,NA,11,0,NA,NA,NA,NA,NA,NA
ellison,NA,12,5,3.5,3.2,C,NA,NA,NA
ellison,NA,ambient,ambient,NA,NA,NA,ambient,NA,NA
sherry,NA,1,1,4.17,4.17,C,1,200,perc
sherry,NA,2,0,NA,NA,NA,0,NA,NA
sherry,NA,3,1,NA,NA,NA,0,NA,NA
sherry,NA,4,0,NA,NA,NA,1,NA,NA
sherry,NA,5,1,4.17,4.17,C,1,200,perc
