ID,block,trt,plot,quad,CO2,heat,water,N,2/22/02,3/11/02,3/21/02,4/4/02,4/12/02,4/18/02,4/26/02,5/2/02,5/9/02,5/16/02,6/5/02
1,1,3,1,1,1,1,2,1,34.0813536,34.08026147,33.26297148,33.26297148,32.44189674,30.37635753,27.24598025,25.14081385,24.0816617,24.92951665,16.35764082
2,1,2,1,2,1,1,1,2,32.852702,31.82410208,29.75342447,25.35211104,17.4400251,17.11594575,14.40096444,14.40113205,18.08853875,18.08853875,15.59791441
3,1,1,1,3,1,1,1,1,31.82410208,31.20474122,28.503086,26.19593931,25.77425193,19.81177597,19.05879187,17.98066897,26.40632264,21.41940716,15.92369966
4,1,4,1,4,1,1,2,2,34.69322725,34.89700197,32.03003363,31.82410208,30.37635753,25.14081385,26.82662209,24.50602897,30.16888034,28.29412489,28.08516378
5,1,16,2,1,2,2,2,2,35.50609387,35.09966399,33.26297148,31.204226,28.29220117,27.45683765,26.19593931,23.65773423,20.2413295,,19.16666335
6,1,14,2,2,2,2,1,2,36.92238605,35.70931224,33.46783833,31.41067963,26.61670597,22.27397283,17.44048142,17.22409394,16.35746292,15.70650949,16.89946718
7,1,15,2,3,2,2,2,1,38.32884318,37.92817563,34.0813536,33.05810463,32.23596519,29.54444964,29.75292297,28.29315617,33.05810463,29.75342447,35.50609387
8,1,13,2,4,2,2,1,1,37.32540242,36.31670767,33.05810463,29.96140316,26.19593931,25.98509562,18.4124282,18.62788333,16.89937695,15.923612,16.03220708
9,1,6,3,1,1,2,1,2,33.67270518,33.46783833,30.58383472,27.45683765,24.29384534,19.70438737,14.72710121,15.05433304,12.76370418,12.3261662,13.3102698
10,1,7,3,2,1,2,2,1,8.038184489,33.46783833,31.82410208,30.79080355,29.75342447,26.61670597,25.77425193,21.419713,26.61670597,,
11,1,8,3,3,1,2,2,2,32.44189674,32.44189674,30.99777238,29.3374671,28.08516378,23.65773423,20.88446857,22.16729473,25.77425193,27.03700542,24.92951665
12,1,5,3,4,1,2,1,1,34.48945253,,31.41119484,28.71204712,24.50602897,19.05879187,13.85586597,13.63774235,11.77842079,11.23021343,12.65443997
13,1,12,4,1,2,1,2,2,25.98418176,25.98509562,27.8752408,26.61670597,36.31442742,25.56340824,34.28512832,18.51963376,34.69100185,,32.23543626
14,1,10,4,2,2,1,1,2,31.82410208,32.23596519,29.96140316,25.77425193,20.02645436,18.51963376,15.27178278,13.96513323,12.76362532,14.07415378,14.6190064
15,1,9,4,3,2,1,1,1,31.82410208,32.03003363,29.3374671,26.61670597,20.6696888,19.05898348,16.68245063,15.70650949,14.51006922,14.6190064,15.81510458
16,1,11,4,4,2,1,2,1,,32.23596519,30.99777238,30.37635753,28.92003266,26.40632264,25.56340824,24.50602897,27.24692153,25.56340824,26.19593931
17,3,2,5,1,1,1,1,2,32.44189674,31.82410208,29.75342447,26.61670597,20.56270057,19.48941427,14.83654294,15.054162,12.87312877,12.21666338,12.65443997
18,3,3,5,2,1,1,2,1,33.67270518,33.67270518,31.82358001,31.20474122,31.20474122,26.82662209,27.45683765,26.19547895,25.14081385,25.1403672,26.61670597
19,3,1,5,3,1,1,1,1,32.44189674,32.44136782,30.99777238,27.66627969,21.74006087,19.81187391,14.94548011,14.83662717,12.76378437,11.33987015,12.98247316
20,3,4,5,4,1,1,2,2,33.26297148,32.64729937,31.41119484,28.71204712,27.66627969,24.92951665,16.68262853,16.46605972,14.18309095,,14.9455652
21,3,8,6,1,1,2,2,2,32.852702,32.44189674,30.37635753,29.96140316,28.71204712,24.92951665,24.71732616,19.91916456,20.13374415,17.87279834,15.16310089
22,3,5,6,2,1,2,1,1,32.44189674,31.82410208,,26.82662209,24.92951665,21.419713,16.79113766,16.79095805,14.7277751,15.27186873,16.24922192
23,3,7,6,3,1,2,2,1,33.05810463,33.05810463,,29.54544578,29.3374671,26.19593931,25.14081385,21.52639368,26.40586228,25.56340824,26.19593931
24,3,6,6,4,1,2,1,2,,34.69322725,31.41119484,28.503086,24.71777281,20.1339409,15.38055062,14.83654294,12.98239431,12.32608796,13.41945454
25,2,12,7,1,2,1,2,2,32.64729937,31.20474122,29.96140316,28.71204712,29.33697246,26.40632264,24.92907001,20.9916587,24.29428513,23.65773423,25.56340824
26,2,10,7,2,2,1,1,2,37.72725123,31.20474122,28.71204712,25.14081385,19.70438737,18.52020345,16.03176533,15.8149301,14.2921115,12.87312877,13.3102698
